"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nombre","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat"
"335","Melastomataceae","Leandra purpureovillosa Hoehne","Leandra purpureovillosa Hoehne",9599,"Melastomataceae","Leandra purpureovillosa Hoehne",9599,NA,"LFB","name ok","","Leandra purpureovillosa","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR","Arbusto-Árvore","Campo de Altitude-Floresta Ciliar ou Galeria-Floresta Ombrófila (= Floresta Pluvial)-Floresta Ombrófila Mista","Terrícola"
"336","Melastomataceae","Leandra quinquedentata Cogn.","Leandra quinquedentata (DC.) Cogn.",9600,"Melastomataceae","Leandra quinquedentata (DC.) Cogn.",9600,NA,"LFB","name ok","","Leandra quinquedentata","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR-BR-BA","Arbusto-Árvore","Campo de Altitude-Campo rupestre-Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)-Floresta Ombrófila Mista","Terrícola"
"337","Melastomataceae","Leandra variabilis Raddi","Leandra variabilis Raddi",9638,"Melastomataceae","Leandra variabilis Raddi",9638,NA,"LFB","name ok","","Leandra variabilis","NATIVA","Endemica/Mata Atlântica","BR-PR-BR-SC-BR-RS-BR-ES-BR-MG-BR-BA-BR-SP-BR-RJ","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"338","Icacinaceae","Leretia cordata Vell.","Leretia cordata Vell.",8034,"Icacinaceae","Leretia cordata Vell.",8034,"surucuína-PORTUGUES-Acre/puca yacua-PORTUGUES-NA","LFB","name ok","","Leretia cordata","NATIVA","Endemica/Amazônia-Endemica/Cerrado-Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES-BR-MA-BR-BA-BR-RR-BR-RO-BR-PA-BR-AP-BR-AM-BR-AC-BR-MT-BR-DF","Arbusto-Árvore-Liana/volúvel/trepadeira","Floresta Ciliar ou Galeria-Floresta de Terra Firme-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"339","Fabaceae","Leucochloron incuriale (Vell.) Barneby & J.W.Grimes","Leucochloron incuriale (Vell.) Barneby & J.W.Grimes",31038,"Fabaceae","Leucochloron incuriale (Vell.) Barneby & J.W.Grimes",31038,NA,"LFB","name ok","","Leucochloron incuriale","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-ES-BR-SP-BR-RJ-BR-MG-BR-PR","Arbusto-Árvore","Cerrado (lato sensu)-Floresta Estacional Semidecidual","Terrícola"
"340","Fabaceae","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz",109828,"Fabaceae","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz",109828,NA,"LFB","name ok","","Libidibia ferrea","NATIVA","Endemica/Caatinga-Endemica/Cerrado-Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES-BR-SE-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL",NA,NA,NA
"341","Chrysobalanaceae","Licania dealbata Hook.f.","Licania dealbata Hook.f.",16823,"Chrysobalanaceae","Licania dealbata Hook.f.",16823,NA,"LFB","name ok","","Licania dealbata","NATIVA","Endemica/Amazônia-Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-PI-BR-MA-BR-BA-BR-TO-BR-GO-BR-DF","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola"
"342","Chrysobalanaceae","Licania kunthiana Hook.f.","Licania kunthiana Hook.f.",16832,"Chrysobalanaceae","Licania kunthiana Hook.f.",16832,NA,"LFB","name ok","","Licania kunthiana","NATIVA","Endemica/Amazônia-Endemica/Caatinga-Endemica/Cerrado-Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SE-BR-PE-BR-MA-BR-BA-BR-TO-BR-RR-BR-RO-BR-PA-BR-AP-BR-AM-BR-AC-BR-MT-BR-MS-BR-GO-BR-DF","Árvore","Cerrado (lato sensu)-Floresta de Terra Firme-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"343","Chrysobalanaceae","Licania littoralis Warm.","Licania littoralis Warm.",16837,"Chrysobalanaceae","Licania littoralis Warm.",16837,NA,"LFB","name ok","","Licania littoralis",NA,NA,NA,"Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola"
"344","Chrysobalanaceae","Licania tomentosa Fritsch","Licania tomentosa (Benth.) Fritsch",16857,"Chrysobalanaceae","Licania tomentosa (Benth.) Fritsch",16857,NA,"LFB","name ok","","Licania tomentosa","NATIVA","Endemica/Mata Atlântica","BR-PI-BR-PE-BR-PB-BR-CE-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola"
"345","Lauraceae","Licaria bahiana H.Kurz","Licaria bahiana Kurz",8420,"Lauraceae","Licaria bahiana Kurz",8420,"louro-sabão-PORTUGUES-Bahia","LFB","name ok","","Licaria bahiana","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA-BR-AL","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"346","Achariaceae","Lindackeria latifolia Benth.","Lindackeria latifolia Benth.",78300,"Achariaceae","Lindackeria latifolia Benth.",78300,NA,"LFB","name ok","","Lindackeria latifolia","NATIVA","Endemica/Amazônia-Endemica/Cerrado","BR-MA-BR-RO-BR-PA-BR-AM","Arbusto-Árvore","Floresta de Terra Firme","Terrícola"
"347","Malvaceae","Luehea ochrophylla Mart.","Luehea ochrophylla Mart.",9096,"Malvaceae","Luehea ochrophylla Mart.",9096,NA,"LFB","name ok","","Luehea ochrophylla","NATIVA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-CE-BR-RJ-BR-ES-BR-SE-BR-PE-BR-PB-BR-BA-BR-AL-BR-AM","Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"348","Fabaceae","Luetzelburgia auriculata (Allemão) Ducke","Luetzelburgia auriculata (Allemão) Ducke",29740,"Fabaceae","Luetzelburgia auriculata (Allemão) Ducke",29740,"Angelim-da-folha-miúda-PORTUGUES-Piauí/Pau-de-chapada-PORTUGUES-Maranhão/Pau-mocó-PORTUGUES-Ceará/Pau-pedra-PORTUGUES-Rio Grande do Norte","LFB","name ok","","Luetzelburgia auriculata","NATIVA","Endemica/Amazônia-Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-GO-BR-MS-BR-MT-BR-DF-BR-TO-BR-PA-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA","Árvore","Caatinga (stricto sensu)-Carrasco-Cerrado (lato sensu)","Terrícola"
